13757,भोट
12631,एमाले
9038,नेपाली
6580,मेयर
4866,कांग्रेस
4454,देउवा
3590,उम्मेदवार
3478,मत
3165,नगरपालिका
3091,नेकपा
2894,चुनाव
2645,गठबन्धन
2368,अध्यक्ष
2211,पार्टी
2110,होला
2081,स्वतन्त्र
1918,वडा
1668,माओवादी
1472,उपमेयर
1455,प्रमुख
1411,है
1265,काङ्ग्रेस
1169,अहिले
1081,बालेन
989,राप्रपा
941,गर्दा
876,काँग्रेस
858,सुर्य
794,मतगणना
777,रुख
756,काठमाडौं
740,परिणाम
716,ओली
704,अपडेट
646,गणना
631,अगाडि
582,भरतपुर
534,एमा
531,लौरो
491,जित्ने
477,स्थापित
459,सूर्य
430,पद
376,केशव_स्थापित
333,हलो
328,बालेनले
307,काठमाडौ
265,बालेन_शाह
260,कलम
259,रुखमा
