Word,Count
नेकपा,3091
एमाले,12631
निकै,167
शक्तिशाली,46
तराजुमा,22
उ,138
एक्लै,218
एकातिर,39
दल,1188
हुँदा,503
झन्,77
लोकपृय,2
भारी,71
हुदैछ,43
एमा,534
विचारको,9
हिसाबले,56
नेपाली,9038
काङ्ग्रेस,1265
हुनुपर्ने,94
आतंककारी,22
मर्या,1
सिनो,9
माओवादीलाई,146
काॅध,1
थाप्ने,8
काङ्ग्रेसलाई,89
कदापि,21
भोट,13757
हाल्न,1050
सकिन्न,63
पवित्र,18
हालेको,171
घामे,3
हरुले,152
हालेछन,19
वडासदस्यका_उम्मेदवारको,12
मृत्युपछि,7
श्रीमतीले_दिइन्,6
उम्मेदवारी,6480
कुहिएको_फर्सी,16
छोएपनि,4
रोग,37
लाग्छ,392
माधव,214
नेपाल,4417
NepalPress,41
गठबन्धनलाई,290
निरन्तरता,29
दिन,2108
भरतपुर,582
छाड्नु,13
पर्यो,307
देउवा,4454
बागमती_प्रदेश,21
कांग्रेस,4866
माओवादी,1668
पालिकामा,431
विजयी,3110
काठमाडौंमा,209
चुनाव,2894
जित्न,287
यस्तै,367
प्रोपागान्डा,3
चाह,66
काठमान्डुकीसुर्जेकुमारी,1
उर्फ,21
सुनिता,73
जीलाई,8
मिसनेपाल२०७९,1
समेत,407
घोषणा,382
गरिनुपर्छ,2
Beautywithpurpose,1
ताज,8
थपिदि,1
गोरखा,159
नगरपालिका–२,41
नगरपालिका,3165
वडा_नम्बर,519
कांग्रेसको,851
प्यानल,279
वडाध्यक्षमा,287
रहम,2
तुल्ला,2
मियाले,5
५७६,3
मत,3478
ल्याउँदै,11
निर्वाचित,1023
भएका,1014
मियाका,2
प्रतिद्वन्दी,16
एमालेका,1036
रामशरण,9
बानियाँले,18
४१४,5
प्राप्त,398
शिवसताक्षी,14
झापा,112
हालसम्म,136
गणना,646
१४०७,1
५७४,7
गठबन्धन४५८,1
राप्रपा६३,1
जसपा२४,1
बदर२१८,1
तारकेश्वर,44
प्रमुखमा,611
कांग्रेसका,1687
महर्जन,42
उपप्रमुखमा,329
बुर्लाकोटी,5
साच्चिँकै,2
हेदा,1
तयो,1
स्थानीय,1924
निर्वाचन,11246
पुरै,172
जित्ला,32
तह,144
पाँचथरमा,5
गठबन्धन,2645
एमालेबीच,9
तीब्र,8
प्रतिस्पर्धा,268
उनीहरुले,37
अधिकार,251
सम्पन्न,422
सरकार_चलाउने,16
गाउँपालिकासहितको,1
जिल्लाका,94
स्थानीय_तहमा,325
सय,473
वटा,388
वडा,1918
सजिलो,108
हाम्रा,307
पार्टीहरु,28
सुध्रनु,2
पर्दैन,210
ब्रदर,4
कम्युनिष्ट,63
पार्टीले,325
बर्ष,446
चलाएको,25
महानहरमा,1
शिक्षा,109
स्वास्थ्यको,5
अबस्था,54
हेर,101
कती,55
पछी,143
दगुर्ने,1
होर,57
यार,153
प्रारंभिक,5
परिणाम,740
हेर्दा,260
काठमांडौ,7
महानगरपालिकामा,53
कॉग्रेस,14
मिलेर,256
चुनाब,466
लडेको,36
बालेन,1081
लाइ,472
हराउने,46
रहेछन्,104
अन्तिम,281
परिणामको,24
हजारौं,36
कुर्नै,3
इस्लाम,7
धर्मावलम्बीहरुको,3
पर्व,21
ईद,11
उल,8
फित्रका,1
अवसरमा,53
सरकारले,270
भोलि,354
वैशाख_गते,184
सार्वजनिक,503
बिदा,143
दिने,1172
निर्णय,437
theshabdaexpress,33
EidUlFitr,1
EidAlFitr,1
PublicHoliday,1
Nepal,387
Muslim,2
आचारसंहिता_उल्लंघनमा,15
कारबाही,349
